rank,name,author,avg_rating,no_ratings
1,To Kill a Mockingbird,Harper Lee,4.26,6770621
2,The Lord of the Rings,J.R.R. Tolkien,4.54,723003
3,The Wonderful Wizard of Oz,L. Frank Baum,4.00,504274
4,The Fellowship of the Ring,J.R.R. Tolkien,4.40,3094267
5,The Two Towers,J.R.R. Tolkien,4.50,1102518
6,One Flew Over the Cuckooâ€™s Nest,Ken Kesey,4.20,773461
7,Harry Potter and the Deathly Hallows,J.K. Rowling,4.62,4053657
8,The Return of the King,J.R.R. Tolkien,4.58,1020742
9,Gone with the Wind,Margaret Mitchell,4.31,1250394
10,The Shining,Stephen King,4.28,1672663
11,V for Vendetta,Alan Moore,4.26,322748
12,Forrest Gump,Winston Groom,4.01,71931
